almond
amaranth
amber
amethyst
apricot
aqua
aquamarine
arsenic
asparagus
auburn
aureolin
aurometalsaurus
avocado
azure
bazaar
beaver
beige
bisque
bistre
bittersweet
black
blond
blue
blush
bole
bone
boysenberry
brass
bronze
bubbles
buff
burgundy
burlywood
byzantine
byzantium
cadet
camel
capri
cardinal
carmine
carnelian
ceil
celadon
cerise
cerulean
chamoisee
champagne
charcoal
cherry
chestnut
cinereous
cinnabar
cinnamon
citrine
cobalt
coffee
copper
coquelicot
coral
cordovan
corn
cornsilk
cream
crimson
cyan
daffodil
dandelion
denim
desert
drab
ebony
ecru
eggplant
eggshell
emerald
fallow
fandango
fawn
feldgrau
firebrick
flame
flavescent
flax
folly
fuchsia
fulvous
gainsboro
gamboge
ginger
glaucous
glitter
goldenrod
gray
grullo
harlequin
heliotrope
honeydew
iceberg
icterine
inchworm
indigo
iris
isabelline
ivory
jade
jasmine
jasper
jet
jonquil
lava
lemon
licorice
lilac
limerick
linen
lion
liver
lust
magenta
magnolia
mahogany
maize
malachite
manatee
mantis
mauve
mauvelous
melon
mint
moccasin
mulberry
mustard
myrtle
ochre
olive
olivine
onyx
orchid
patriarch
peach
pear
pearl
peridot
periwinkle
persimmon
peru
phlox
pink
pistachio
platinum
prune
puce
pumpkin
quartz
rackley
rajah
raspberry
razzmatazz
red
redwood
regalia
rose
rosewood
ruby
ruddy
rufous
russet
rust
saffron
salmon
sand
sandstorm
sangria
sapphire
scarlet
seashell
sepia
shadow
sienna
silver
sinopia
skobeloff
snow
stizza
stormcloud
straw
sunglow
sunset
tan
tangelo
tangerine
taupe
teal
telemagenta
thistle
timberwolf
tomato
toolbox
topaz
tumbleweed
turquoise
ube
ultramarine
umber
urobilin
vanilla
verdigris
veronica
violet
viridian
waterspout
wenge
wheat
white
wine
wisteria
xanadu
yellow
zaffre
